#OTU ID	1	10	11	12	13	14	15	16	17	18	19	2	20	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	5	6	7	8	9
COBALSYN-PWY	2037.1535	1103.6896	9191.8469	983.8656	4065.5814	388.1585	905.8508	4373.0749	4744.4511	975.6143	2201.7459	4605.1799	2470.9215	967.8084	1846.5541	3001.8577	1881.1643	2709.5752	4319.8361	1828.2824	933.868	1855.7282	1789.5067	4111.2438	5397.2126	4509.7551	3567.0172	3493.7662	3527.4618	1890.5114	3974.3233	475.31	3368.4751	2988.0433	2597.3054	1742.6477	1062.3668	2512.3369	3207.7435	2478.7476	9369.0787	3474.0602
CODH-PWY	0.0	130.7641	0.0	109.271	3.9985	0.0	15.9649	228.1532	9.9901	101.2699	80.0482	33.887	86.8008	0.0	198.6379	127.6345	0.0	344.0791	143.7766	275.2181	0.0	249.1503	79.0335	40.8384	94.9362	255.916	17.9628	84.9769	137.0007	242.9604	195.9278	0.0	30.5489	0.0	0.0	188.0742	79.7663	23.9503	45.6752	136.5537	21.8785	0.0
COLANSYN-PWY	1102.151	751.9841	4896.2021	506.0093	3014.7129	637.6953	24.1104	2249.9714	1906.6881	1531.4964	1197.466	2698.1811	1913.1769	572.8379	2060.2109	1484.7569	646.9169	1869.6753	3269.5223	1639.8616	665.2527	1306.061	1689.2518	2624.6178	1974.4815	3164.2539	2449.7179	1593.822	2309.9689	1869.6203	2874.221	358.8117	2040.3159	1643.6446	1580.059	1163.6099	649.3394	2749.9848	1400.9245	2171.1189	6745.9481	1439.288
COMPLETE-ARO-PWY	3356.8547	4006.0485	11620.7416	2820.1432	6486.9346	4544.9981	3970.2781	6289.1373	6319.6481	2947.1099	3501.6056	6412.2879	3846.9091	3558.7456	4253.1302	4529.7774	3309.5697	4577.483	6311.6922	3514.2013	3506.9689	2988.4178	3062.7946	6521.7902	7684.8921	6656.8947	5296.0968	4811.8712	4439.061	4236.896	6175.4566	1471.8743	4493.5894	4654.9244	4150.4786	2387.9569	4660.8385	6570.1225	4159.1018	3920.2999	12287.1379	4900.7663
DAPLYSINESYN-PWY	3214.3968	3176.1043	9186.9271	2114.8191	5030.0027	3765.8216	2982.3041	5017.3179	5483.391	2247.7522	2472.3304	5221.4625	2808.8083	3390.7894	3059.6406	3698.2669	2793.6246	3795.7555	5124.7494	2620.7624	3569.7386	2368.0354	2297.4747	5323.5196	6266.154	5504.8438	4123.0738	4146.6201	3521.8693	3605.5179	5007.2165	1471.9278	3335.5038	3592.3256	3219.3999	1632.0203	3868.3556	5020.0328	3334.4751	2617.2706	10226.3344	4247.1164
DENITRIFICATION-PWY	0.0	0.0	60.4984	38.5837	0.0	0.0	71.8964	41.0461	0.0	85.2322	125.7216	0.0	0.0	49.8978	444.8371	0.0	0.0	94.2106	0.0	186.6035	0.0	5.8831	3.665	31.8619	0.0	50.9108	85.3494	0.0	46.3331	0.0	152.5228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4
DENOVOPURINE2-PWY	3340.5695	2724.8608	9960.638	2491.159	4992.5701	3861.6802	3180.3091	4508.7402	3448.6237	2639.5985	3183.4533	3695.6892	3037.3464	3130.6688	4067.6157	2838.1041	3341.5217	4191.0692	5173.5259	3320.4473	5878.7344	2607.0023	3157.5899	4596.0362	5913.2436	5118.2899	4905.6904	3924.3765	4221.4469	4101.0253	4471.6756	1967.6416	3255.9082	2938.7513	3343.3833	1774.911	4537.9882	6182.4997	2512.7848	3011.3637	10870.1109	4319.007
DHGLUCONATE-PYR-CAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.8911	0.0	0.0	28.5392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7507
DTDPRHAMSYN-PWY	2975.1012	3324.8719	7892.963	1811.6443	5591.8752	1352.2358	3118.9978	5205.489	4962.4596	1684.7343	1788.1368	5116.6038	2898.0414	1549.3532	2541.927	3151.6214	2702.4785	3636.5141	5318.6871	2721.0868	1709.6688	2120.5222	3436.7277	5295.3607	5889.9329	5539.3921	3254.8213	4385.6917	3889.9052	3897.8307	5604.6784	1777.7913	3601.7217	3313.7726	3142.9493	1598.3701	3655.2831	4826.9005	3316.0071	3145.4636	11670.636	4268.7206
ECASYN-PWY	2181.3958	816.9427	5276.9493	314.3367	152.0459	245.1335	57.9548	680.427	618.2324	263.0725	477.6522	178.7292	43.7105	1002.3702	458.7987	40.6514	1854.7513	1346.6831	1087.6874	985.7648	887.7629	893.49	283.4101	45.6733	2630.6307	88.4395	627.6604	1120.9087	350.6114	760.0763	0.0	633.4208	173.1537	71.1115	8.1323	522.591	1349.8353	8.6335	41.7789	342.8305	8465.0938	3610.9037
ENTBACSYN-PWY	2761.5834	1637.9843	7366.3629	859.6205	328.495	926.573	388.9224	1275.2211	1180.7441	541.3326	1160.73	414.632	100.0445	2019.7768	882.9233	120.5779	2636.3343	2182.0485	1775.193	1595.4565	2085.0576	1427.0828	756.46	98.7174	4031.2564	190.8601	1467.379	1790.265	831.0083	1330.9788	0.0	1206.12	540.4804	230.1249	62.363	884.0624	2540.0263	50.8954	80.8253	763.4409	8246.7246	3877.0714
FAO-PWY	3849.66	1380.6441	9715.8121	515.8869	487.499	500.4236	98.5779	1154.9196	1163.2778	456.0453	966.1556	509.8541	84.8214	1863.1724	1113.4396	136.915	3059.98	2919.1166	2073.3923	1875.9843	1817.2782	1924.5727	496.2983	110.1381	4670.4092	349.3382	1138.6939	1897.8259	739.3937	1310.6367	527.9581	943.0	335.137	183.2399	17.3885	961.3273	2044.4494	13.9577	54.5912	797.296	15309.2533	6646.3977
FASYN-ELONG-PWY	3437.8148	2391.8112	9853.368	1799.7503	2945.7625	2734.6478	2181.9934	4527.9387	3832.0511	2588.8247	3015.2231	4198.8046	2560.5465	2663.0286	4309.289	2757.2377	3725.0917	4618.0769	5010.4356	3632.0298	6671.2221	2855.6876	4055.5592	3214.4903	5416.2463	3801.0326	4351.1663	3851.2836	3929.2105	4977.9055	4219.8316	2490.0982	3093.2916	2379.6793	2527.0667	2013.2074	5254.1738	5239.1053	2091.6782	3531.7653	13925.8728	4980.7326
FASYN-INITIAL-PWY	3218.7304	1564.0359	8188.4364	950.1839	2176.928	793.5947	322.2801	3512.4835	2921.3611	2085.0012	2356.4496	1961.3632	1871.9939	2419.3359	3688.2286	2136.3409	2796.0056	4039.2947	3310.9306	2932.7448	3111.8452	2258.2924	2364.562	2367.1475	4381.3044	2851.4948	3067.7158	2270.0583	2016.2859	4340.073	3184.2382	1160.1354	2422.356	1755.5832	1437.6224	1595.2113	2562.4325	1227.4345	1530.482	2869.7369	12015.4912	4811.7811
FERMENTATION-PWY	3815.1052	3350.7597	9995.0361	1777.369	3224.3666	3382.6054	2709.2117	3816.0869	3006.2371	2063.4361	2139.0499	2842.9218	1901.0838	3086.1064	2912.4381	2049.1723	3460.9644	3847.1045	4392.3639	2993.6297	3110.6906	2398.7494	2750.5911	3442.5064	5596.6359	4267.5109	3778.8765	3146.8838	3175.1255	3054.7985	3546.2751	1977.6958	2727.3267	2313.33	2724.9105	1631.1012	4377.8868	4999.4995	1819.4898	1824.0466	13760.7065	5800.0819
FOLSYN-PWY	3362.4635	3141.2406	10602.1351	2194.8836	4646.8571	4010.7016	2311.1923	4684.1843	4006.7509	2707.6122	3025.5757	4259.6224	2911.395	2972.6791	3901.5288	2773.2763	3122.3868	4061.6817	5024.1344	3182.2198	4826.9221	2583.3381	2793.117	4530.3398	5931.4233	5059.5826	4420.6047	3742.8904	3660.5786	3894.0727	4457.8514	1564.2775	3373.2533	3236.7453	3300.2741	1863.2661	4577.4743	5719.1465	2672.0471	3157.03	11548.4045	4665.7951
